Tweet,From,To,Day,Time,Date
Situasi arus lalu lintas di Traffic Light Cokroaminoto Jakarta Pusat menuju arah Jalan Rasuna Said maupun arah Gondangdia terpantau ramai lancar.,Traffic Light Cokroaminoto,"Jalan Rasuna Said, Gondangdia",Monday,08:56:00,13 June 2022
Situasi arus lalu lintas di Traffic Light Cempaka Putih Jakarta Pusat menuju arah Senen terpantau lancar.,Traffic Light Cempaka Putih,Senen,Sunday,07:25:00,12 June 2022
Situasi arus lalu lintas di Traffic Light Pintu Besi Jalan Gunung Sahari Jakarta Pusat terpantau ramai lancar.,Jalan Gunung Sahari,-,Thursday,06:56:00,09 June 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan terpantau ramai lancar.,Traffic Light Tugu Tani,Jalan Medan Merdeka Selatan,Saturday,17:36:00,04 June 2022
Situasi arus lalu lintas di Traffic Light Sarinah Jakarta Pusat menuju arah Tanah Abang maupun arah Jalan Jendral Sudirman terpantau ramai lancar.,Traffic Light Sarinah,"Tanah Abang, Jalan Jendral Sudirman",Tuesday,07:49:00,31 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan maupun arah Kwitang terpantau ramai lancar.,Traffic Light Tugu Tani,"Jalan Medan Merdeka Selatan, Kwitang",Tuesday,06:43:00,31 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat terpantau ramai lancar.,Traffic Light Tugu Tani ,-,Thursday,19:17:00,26 May 2022
Situasi arus lalu lintas di Jalan Jendral Sudirman (Teluk Betung) Jakarta Pusat menuju arah Jalan MH Thamrin terpantau ramai lancar.,Jalan Jendral Sudirman (Teluk Betung) ,Jalan MH Thamrin,Wednesday,06:43:00,25 May 2022
Situasi arus lalu lintas di Traffic Light Salemba Jakarta Pusat menuju arah Senen maupun arah Matraman terpantau ramai lancar.,Traffic Light Salemba,"Senen, Matraman",Sunday,07:52:00,22 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan terpantau ramai lancar.,Traffic Light Tugu Tani,Jalan Medan Merdeka Selatan,Sunday,07:15:00,22 May 2022
Situasi arus lalu lintas di Traffic Light Cempaka Putih Jakarta Pusat menuju arah Pulo Gadung maupun arah Sunter terpantau ramai lancar.,Traffic Light Cempaka Putih,"Pulo Gadung, Sunter",Tuesday,17:01:00,17 May 2022
Situasi arus lalu lintas di Traffic Light Asia Afrika Senayan Jakarta Pusat terpantau lancar.,Traffic Light Asia Afrika Senayan ,-,Saturday,06:10:00,07 May 2022
Situasi arus lalu lintas di Traffic Light Sarinah Jakarta Pusat menuju arah Tanah Abang maupun arah Jalan Jendral Sudirman terpantau ramai lancar.,Traffic Light Sarinah,"Tanah Abang, Jalan Jendral Sudirman",Tuesday,07:49:00,31 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan maupun arah Kwitang terpantau ramai lancar.,Traffic Light Tugu Tani,"Jalan Medan Merdeka Selatan, Kwitang",Tuesday,06:43:00,31 May 2022
Situasi arus lalu lintas di Traffic light Tugu Tani Jakarta Pusat terpantau ramai lancar.,Traffic light Tugu Tani ,-,Monday,22:08:00,30 May 2022
Situasi arus lalu lintas di Traffic Light Harmoni Jakarta Pusat menuju arah Jalan Hayam Wuruk maupun arah Sebaliknya terpantau ramai lancar.,Traffic Light Harmoni,"Jalan Hayam Wuruk, Sebaliknya",Sunday,13:40:00,29 May 2022
Situasi arus lalu lintas di Traffic Light Asia Afrika Senayan Jakarta Pusat terpantau ramai lancar.,Traffic Light Asia Afrika Senayan ,-,Sunday,10:48:00,29 May 2022
Situasi arus lalu lintas di Traffic Light Kolong Galur Jalan Letjen Suprapto Jakarta Pusat menuju arah Senen maupun arah Kemayoran terpantau ramai lancar.,Jalan Letjen Suprapto,"Senen, Kemayoran",Sunday,10:05:00,29 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat terpantau ramai lancar.,Traffic Light Tugu Tani ,-,Thursday,19:17:00,26 May 2022
Situasi arus lalu lintas di Traffic Light Salemba Jakarta Pusat menuju arah Matraman maupun arah Rawamangun terpantau ramai lancar.,Traffic Light Salemba,"Matraman, Rawamangun",Thursday,15:29:00,26 May 2022
Situasi arus lalu lintas di Traffic Light Bungur Jakarta Pusat menuju arah Kemayoran terpantau ramai lancar.,Traffic Light Bungur,Kemayoran,Thursday,14:46:00,26 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan terpantau ramai lancar.,Traffic Light Tugu Tani,Jalan Medan Merdeka Selatan,Wednesday,07:47:00,25 May 2022
Situasi arus lalu lintas di Jalan Jendral Sudirman (Teluk Betung) Jakarta Pusat menuju arah Jalan MH Thamrin terpantau ramai lancar.,Jalan Jendral Sudirman (Teluk Betung) ,Jalan MH Thamrin,Wednesday,06:43:00,25 May 2022
Situasi arus lalu lintas di Traffic Light Harmoni Jakarta Pusat menuju arah Jalan Medan Merdeka Barat maupun arah Jalan Juanda terpantau ramai lancar.,Traffic Light Harmoni,"Jalan Medan Merdeka Barat, Jalan Juanda",Monday,10:26:00,23 May 2022
Situasi arus lalu lintas di Traffic Light Salemba Jakarta Pusat menuju arah Senen maupun arah Matraman terpantau ramai lancar.,Traffic Light Salemba,"Senen, Matraman",Sunday,07:52:00,22 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan terpantau ramai lancar.,Traffic Light Tugu Tani,Jalan Medan Merdeka Selatan,Sunday,07:15:00,22 May 2022
Situasi arus lalu lintas di Traffic Light Cempaka Putih Jakarta Pusat menuju arah Pulogadung terpantau ramai lancar.,Traffic Light Cempaka Putih,Pulogadung,Friday,16:57:00,20 May 2022
Situasi arus lalu lintas di Traffic Light Harmoni Jakarta Pusat menuju arah Jalan Juanda maupun arah Jalan Medan Merdeka Barat terpantau ramai lancar.,Traffic Light Harmoni,"Jalan Juanda, Jalan Medan Merdeka Barat",Thursday,06:34:00,19 May 2022
Situasi arus lalu lintas di Traffic Light Cempaka Putih Jakarta Pusat menuju arah Pulo Gadung maupun arah Sunter terpantau ramai lancar.,Traffic Light Cempaka Putih,"Pulo Gadung, Sunter",Tuesday,17:01:00,17 May 2022
Situasi arus lalu lintas di Traffic Light Galur Jalan Letjen Suprapto Jakarta Pusat menuju arah Senen maupun arah Kemayoran terpantau ramai lancar.,Jalan Letjen Suprapto,"Senen, Kemayoran",Tuesday,15:25:00,17 May 2022
Situasi arus lalu lintas di Traffic Light Patung Kuda Monas Jakarta Pusat menuju arah Jalan Mh Thamrin terpantau ramai lancar.,Traffic Light Patung Kuda Monas,Jalan Mh Thamrin,Tuesday,12:26:00,17 May 2022
Situasi arus lalu lintas di Jalan Gatot Subroto Jakarta Pusat Jalur Arteri maupun Ruas Tol menuju arah Slipi terpantau ramai lancar.,Jalan Gatot Subroto ,Slipi,Tuesday,10:53:00,17 May 2022
Situasi arus lalu lintas di Depan Gedung DPR/RI Jalan Gatot Subroto Jakarta Pusat menuju arah Slipi terpantau ramai lancar.,Jalan Gatot Subroto ,Slipi,Saturday,10:12:00,14 May 2022
Situasi arus lalu lintas di Traffic Light Pintu Besi Jalan Gunung Sahari Jakarta Pusat menuju arah Ancol maupun arah Kemayoran  Sunter terpantau ramai lancar.,Jalan Gunung Sahari,"Ancol, Kemayoran Sunter",Wednesday,17:01:00,11 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Pasar Baru maupun arah Kwitang terpantau ramai lancar.,Traffic Light Tugu Tani,"Pasar Baru, Kwitang",Wednesday,15:34:00,11 May 2022
Situasi arus lalu lintas di Traffic Light Simpang Lima Senen Jakarta Pusat menuju arah Cempaka Putih maupun arah Salemba terpantau ramai lancar.,Traffic Light Simpang Lima Senen,"Cempaka Putih, Salemba",Wednesday,15:04:00,11 May 2022
Situasi arus lalu lintas di Jalan Jendral Sudirman (Dukuh Atas) Jakarta Pusat menuju arah Bundaran HI terpantau ramai lancar.,Jalan Jendral Sudirman (Dukuh Atas) ,Bundaran HI,Wednesday,13:30:00,11 May 2022
Situasi arus lalu lintas di Traffic Light Patung Kuda Monas Jakarta Pusat menuju arah Jalan MH Thamrin terpantau ramai lancar.,Traffic Light Patung Kuda Monas,Jalan MH Thamrin,Wednesday,13:13:00,11 May 2022
Situasi arus lalu lintas di Traffic Light Galur Jalan Letjen Suprapto Jakarta Pusat menuju arah Senen maupun arah Kemayoran terpantau ramai lancar.,Jalan Letjen Suprapto,"Senen, Kemayoran",Wednesday,10:09:00,11 May 2022
Situasi arus lalu lintas di Traffic Light Karet Bivak Jakarta Pusat dari arah Tanah Abang menuju arah Jalan Satrio maupun arah Pejompongan terpantau ramai lancar.,Tanah Abang,"Jalan Satrio, Pejompongan",Wednesday,09:06:00,11 May 2022
Situasi arus lalu lintas di Jalan Jendral Sudirman (Dukuh Atas) Jakarta Pusat menuju Jalan MH Thamrin terpantau lancar.,Jalan Jendral Sudirman (Dukuh Atas) ,Jalan MH Thamrin,Saturday,06:15:00,07 May 2022
Situasi arus lalu lintas di Traffic Light Asia Afrika Senayan Jakarta Pusat terpantau lancar.,Traffic Light Asia Afrika Senayan ,-,Saturday,06:10:00,07 May 2022
